City,Country,Latitude,Longitude,Timestamp_UTC,Temperature_C,Wind_KPH,Condition,AQI_US,CO,NO2,O3,PM2.5
Casablanca,Morocco,33.5931,-7.6164,1765069200,14.6,10.8,Cloudy,2,164.85,11.85,41.0,16.45
Addis Ababa,Ethiopia,9.0333,38.7,1765069200,10.4,5.8,Clear,2,454.85,6.25,44.0,19.15
Dar Es Salaam,Tanzania,-6.8,39.2833,1765069200,25.6,7.2,Patchy rain nearby,1,100.85,5.15,18.0,4.55
Kampala,Uganda,0.3156,32.5656,1765069200,19.0,3.6,Patchy rain nearby,2,436.85,10.95,43.0,31.25
Algiers,Algeria,36.7631,3.0506,1765069200,15.3,7.6,Clear,1,193.85,42.55,25.0,9.05
Lagos,Nigeria,6.4531,3.3958,1765242000,28.2,17.3,Partly Cloudy,2,418.85,14.65,49.0,24.95
Accra,Ghana,5.55,-0.2167,1765242000,27.3,11.9,Clear,1,216.85,10.15,40.0,9.45
Nairobi,Kenya,-1.2833,36.8167,1765242000,13.5,11.5,Partly Cloudy,1,285.85,7.55,42.0,10.25
Johannesburg,South Africa,-26.2,28.0833,1765242000,17.9,4.0,Clear,2,343.85,50.45,51.0,34.15
Cairo,Egypt,30.05,31.25,1765242000,13.9,13.7,Clear,2,212.85,24.65,40.0,23.85
Casablanca,Morocco,33.5931,-7.6164,1765242000,15.6,8.3,Clear,2,239.85,23.75,23.0,26.45
